Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
CreateRole,Grants permission to create a new role,Write,role*,,
CreateRole,Grants permission to create a new role,Write,,iam:PermissionsBoundary  aws:TagKeys  aws:RequestTag/${TagKey},
CreateSAMLProvider,Grants permission to create an IAM resource that describes an identity provider (IdP) that supports SAML 2.0,Write,saml-provider*,,
CreateSAMLProvider,Grants permission to create an IAM resource that describes an identity provider (IdP) that supports SAML 2.0,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
CreateServiceLinkedRole,Grants permission to create an IAM role that allows an AWS service to perform actions on your behalf,Write,,iam:AWSServiceName,
CreateServiceLinkedRole,Grants permission to create an IAM role that allows an AWS service to perform actions on your behalf,Write,role*,,
CreateServiceSpecificCredential,Grants permission to create a new service-specific credential for an IAM user,Write,user*,,
CreateUser,Grants permission to create a new IAM user,Write,user*,,
CreateUser,Grants permission to create a new IAM user,Write,,iam:PermissionsBoundary  aws:TagKeys  aws:RequestTag/${TagKey},
CreateVirtualMFADevice,Grants permission to create a new virtual MFA device,Write,mfa*,,
CreateVirtualMFADevice,Grants permission to create a new virtual MFA device,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
DeactivateMFADevice,Grants permission to deactivate the specified MFA device and remove its association with the IAM user for which it was originally enabled,Write,user*,,
DeleteAccessKey,Grants permission to delete the access key pair that is associated with the specified IAM user,Write,user*,,
DeleteAccountAlias,Grants permission to delete the specified AWS account alias,Write,,,
DeleteAccountPasswordPolicy,Grants permission to delete the password policy for the AWS account,Permissions management,,,
DeleteGroup,Grants permission to delete the specified IAM group,Write,group*,,
DeleteGroupPolicy,Grants permission to delete the specified inline policy from its group,Permissions management,group*,,
DeleteInstanceProfile,Grants permission to delete the specified instance profile,Write,instance-profile*,,
DeleteLoginProfile,Grants permission to delete the password for the specified IAM user,Write,user*,,
DeleteOpenIDConnectProvider,Grants permission to delete an OpenID Connect identity provider (IdP) resource object in IAM,Write,oidc-provider*,,
DeletePolicy,"Grants permission to delete the specified managed policy and remove it from any IAM entities (users, groups, or roles) to which it is attached",Permissions management,policy*,,
DeletePolicyVersion,Grants permission to delete a version from the specified managed policy,Permissions management,policy*,,
DeleteRole,Grants permission to delete the specified role,Write,role*,,
DeleteRolePermissionsBoundary,Grants permission to remove the permissions boundary from a role,Permissions management,role*,,
DeleteRolePermissionsBoundary,Grants permission to remove the permissions boundary from a role,Permissions management,,iam:PermissionsBoundary,
DeleteRolePolicy,Grants permission to delete the specified inline policy from the specified role,Permissions management,role*,,
DeleteRolePolicy,Grants permission to delete the specified inline policy from the specified role,Permissions management,,iam:PermissionsBoundary,
DeleteSAMLProvider,Grants permission to delete a SAML provider resource in IAM,Write,saml-provider*,,
DeleteSSHPublicKey,Grants permission to delete the specified SSH public key,Write,user*,,
DeleteServerCertificate,Grants permission to delete the specified server certificate,Write,server-certificate*,,
DeleteServiceLinkedRole,"Grants permission to delete an IAM role that is linked to a specific AWS service, if the service is no longer using it",Write,role*,,
DeleteServiceSpecificCredential,Grants permission to delete the specified service-specific credential for an IAM user,Write,user*,,
DeleteSigningCertificate,Grants permission to delete a signing certificate that is associated with the specified IAM user,Write,user*,,
DeleteUser,Grants permission to delete the specified IAM user,Write,user*,,
DeleteUserPermissionsBoundary,Grants permission to remove the permissions boundary from the specified IAM user,Permissions management,user*,,
DeleteUserPermissionsBoundary,Grants permission to remove the permissions boundary from the specified IAM user,Permissions management,,iam:PermissionsBoundary,
DeleteUserPolicy,Grants permission to delete the specified inline policy from an IAM user,Permissions management,user*,,
DeleteUserPolicy,Grants permission to delete the specified inline policy from an IAM user,Permissions management,,iam:PermissionsBoundary,
DeleteVirtualMFADevice,Grants permission to delete a virtual MFA device,Write,mfa,,
DeleteVirtualMFADevice,Grants permission to delete a virtual MFA device,Write,sms-mfa,,
DetachGroupPolicy,Grants permission to detach a managed policy from the specified IAM group,Permissions management,group*,,
DetachGroupPolicy,Grants permission to detach a managed policy from the specified IAM group,Permissions management,,iam:PolicyARN,
DetachRolePolicy,Grants permission to detach a managed policy from the specified role,Permissions management,,iam:PolicyARN  iam:PermissionsBoundary,
DetachRolePolicy,Grants permission to detach a managed policy from the specified role,Permissions management,role*,,
DetachUserPolicy,Grants permission to detach a managed policy from the specified IAM user,Permissions management,user*,,
DetachUserPolicy,Grants permission to detach a managed policy from the specified IAM user,Permissions management,,iam:PolicyARN  iam:PermissionsBoundary,
EnableMFADevice,Grants permission to enable an MFA device and associate it with the specified IAM user,Write,user*,,
GenerateCredentialReport,Grants permission to generate a credential report for the AWS account,Read,,,
GenerateOrganizationsAccessReport,Grants permission to generate an access report for an AWS Organizations entity,Read,access-report*,,organizations:DescribePolicy  organizations:ListChildren  organizations:ListParents  organizations:ListPoliciesForTarget  organizations:ListRoots  organizations:ListTargetsForPolicy
GenerateOrganizationsAccessReport,Grants permission to generate an access report for an AWS Organizations entity,Read,,iam:OrganizationsPolicyId,
GenerateServiceLastAccessedDetails,Grants permission to generate a service last accessed data report for an IAM resource,Read,group*,,
GenerateServiceLastAccessedDetails,Grants permission to generate a service last accessed data report for an IAM resource,Read,policy*,,
GenerateServiceLastAccessedDetails,Grants permission to generate a service last accessed data report for an IAM resource,Read,role*,,
GenerateServiceLastAccessedDetails,Grants permission to generate a service last accessed data report for an IAM resource,Read,user*,,
GetAccessKeyLastUsed,Grants permission to retrieve information about when the specified access key was last used,Read,user*,,
GetAccountAuthorizationDetails,"Grants permission to retrieve information about all IAM users, groups, roles, and policies in your AWS account, including their relationships to one another",Read,,,
GetAccountPasswordPolicy,Grants permission to retrieve the password policy for the AWS account,Read,,,
GetAccountSummary,Grants permission to retrieve information about IAM entity usage and IAM quotas in the AWS account,List,,,
GetContextKeysForCustomPolicy,Grants permission to retrieve a list of all of the context keys that are referenced in the specified policy,Read,,,
GetContextKeysForPrincipalPolicy,"Grants permission to retrieve a list of all context keys that are referenced in all IAM policies that are attached to the specified IAM identity (user, group, or role)",Read,group,,
GetContextKeysForPrincipalPolicy,"Grants permission to retrieve a list of all context keys that are referenced in all IAM policies that are attached to the specified IAM identity (user, group, or role)",Read,role,,
GetContextKeysForPrincipalPolicy,"Grants permission to retrieve a list of all context keys that are referenced in all IAM policies that are attached to the specified IAM identity (user, group, or role)",Read,user,,
GetCredentialReport,Grants permission to retrieve a credential report for the AWS account,Read,,,
GetGroup,Grants permission to retrieve a list of IAM users in the specified IAM group,Read,group*,,
GetGroupPolicy,Grants permission to retrieve an inline policy document that is embedded in the specified IAM group,Read,group*,,
GetInstanceProfile,"Grants permission to retrieve information about the specified instance profile, including the instance profile's path, GUID, ARN, and role",Read,instance-profile*,,
GetLoginProfile,Grants permission to retrieve the user name and password creation date for the specified IAM user,List,user*,,
GetOpenIDConnectProvider,Grants permission to retrieve information about the specified OpenID Connect (OIDC) provider resource in IAM,Read,oidc-provider*,,
GetOrganizationsAccessReport,Grants permission to retrieve an AWS Organizations access report,Read,,,
GetPolicy,"Grants permission to retrieve information about the specified managed policy, including the policy's default version and the total number of identities to which the policy is attached",Read,policy*,,
GetPolicyVersion,"Grants permission to retrieve information about a version of the specified managed policy, including the policy document",Read,policy*,,
GetRole,"Grants permission to retrieve information about the specified role, including the role's path, GUID, ARN, and the role's trust policy",Read,role*,,
GetRolePolicy,Grants permission to retrieve an inline policy document that is embedded with the specified IAM role,Read,role*,,
GetSAMLProvider,Grants permission to retrieve the SAML provider metadocument that was uploaded when the IAM SAML provider resource was created or updated,Read,saml-provider*,,
GetSSHPublicKey,"Grants permission to retrieve the specified SSH public key, including metadata about the key",Read,user*,,
GetServerCertificate,Grants permission to retrieve information about the specified server certificate stored in IAM,Read,server-certificate*,,
GetServiceLastAccessedDetails,Grants permission to retrieve information about the service last accessed data report,Read,,,
GetServiceLastAccessedDetailsWithEntities,Grants permission to retrieve information about the entities from the service last accessed data report,Read,,,
GetServiceLinkedRoleDeletionStatus,Grants permission to retrieve an IAM service-linked role deletion status,Read,role*,,
GetUser,"Grants permission to retrieve information about the specified IAM user, including the user's creation date, path, unique ID, and ARN",Read,user*,,
GetUserPolicy,Grants permission to retrieve an inline policy document that is embedded in the specified IAM user,Read,user*,,
ListAccessKeys,Grants permission to list information about the access key IDs that are associated with the specified IAM user,List,user*,,
ListAccountAliases,Grants permission to list the account alias that is associated with the AWS account,List,,,
ListAttachedGroupPolicies,Grants permission to list all managed policies that are attached to the specified IAM group,List,group*,,
ListAttachedRolePolicies,Grants permission to list all managed policies that are attached to the specified IAM role,List,role*,,
ListAttachedUserPolicies,Grants permission to list all managed policies that are attached to the specified IAM user,List,user*,,
ListEntitiesForPolicy,Grants permission to list all IAM identities to which the specified managed policy is attached,List,policy*,,
ListGroupPolicies,Grants permission to list the names of the inline policies that are embedded in the specified IAM group,List,group*,,
ListGroups,Grants permission to list the IAM groups that have the specified path prefix,List,,,
ListGroupsForUser,Grants permission to list the IAM groups that the specified IAM user belongs to,List,user*,,
ListInstanceProfileTags,Grants permission to list the tags that are attached to the specified instance profile,List,instance-profile*,,
ListInstanceProfiles,Grants permission to list the instance profiles that have the specified path prefix,List,instance-profile*,,
ListInstanceProfilesForRole,Grants permission to list the instance profiles that have the specified associated IAM role,List,role*,,
ListMFADeviceTags,Grants permission to list the tags that are attached to the specified virtual mfa device,List,mfa*,,
ListMFADevices,Grants permission to list the MFA devices for an IAM user,List,user,,
ListOpenIDConnectProviderTags,Grants permission to list the tags that are attached to the specified OpenID Connect provider,List,oidc-provider*,,
ListOpenIDConnectProviders,Grants permission to list information about the IAM OpenID Connect (OIDC) provider resource objects that are defined in the AWS account,List,,,
ListPolicies,Grants permission to list all managed policies,List,,,
ListPoliciesGrantingServiceAccess,Grants permission to list information about the policies that grant an entity access to a specific service,List,group*,,
ListPoliciesGrantingServiceAccess,Grants permission to list information about the policies that grant an entity access to a specific service,List,role*,,
ListPoliciesGrantingServiceAccess,Grants permission to list information about the policies that grant an entity access to a specific service,List,user*,,
ListPolicyTags,Grants permission to list the tags that are attached to the specified managed policy,List,policy*,,
ListPolicyVersions,"Grants permission to list information about the versions of the specified managed policy, including the version that is currently set as the policy's default version",List,policy*,,
ListRolePolicies,Grants permission to list the names of the inline policies that are embedded in the specified IAM role,List,role*,,
ListRoleTags,Grants permission to list the tags that are attached to the specified IAM role,List,role*,,
ListRoles,Grants permission to list the IAM roles that have the specified path prefix,List,,,
ListSAMLProviderTags,Grants permission to list the tags that are attached to the specified SAML provider,List,saml-provider*,,
ListSAMLProviders,Grants permission to list the SAML provider resources in IAM,List,,,
ListSSHPublicKeys,Grants permission to list information about the SSH public keys that are associated with the specified IAM user,List,user*,,
ListServerCertificateTags,Grants permission to list the tags that are attached to the specified server certificate,List,server-certificate*,,
ListServerCertificates,Grants permission to list the server certificates that have the specified path prefix,List,,,
ListServiceSpecificCredentials,Grants permission to list the service-specific credentials that are associated with the specified IAM user,List,user*,,
ListSigningCertificates,Grants permission to list information about the signing certificates that are associated with the specified IAM user,List,user*,,
ListUserPolicies,Grants permission to list the names of the inline policies that are embedded in the specified IAM user,List,user*,,
ListUserTags,Grants permission to list the tags that are attached to the specified IAM user,List,user*,,
ListUsers,Grants permission to list the IAM users that have the specified path prefix,List,,,
ListVirtualMFADevices,Grants permission to list virtual MFA devices by assignment status,List,,,
PassRole [permission only],Grants permission to pass a role to a service,Write,role*,,
PassRole [permission only],Grants permission to pass a role to a service,Write,,iam:AssociatedResourceArn  iam:PassedToService,
PutGroupPolicy,Grants permission to create or update an inline policy document that is embedded in the specified IAM group,Permissions management,group*,,
PutRolePermissionsBoundary,Grants permission to set a managed policy as a permissions boundary for a role,Permissions management,role*,,
PutRolePermissionsBoundary,Grants permission to set a managed policy as a permissions boundary for a role,Permissions management,,iam:PermissionsBoundary,
PutRolePolicy,Grants permission to create or update an inline policy document that is embedded in the specified IAM role,Permissions management,,iam:PermissionsBoundary,
PutRolePolicy,Grants permission to create or update an inline policy document that is embedded in the specified IAM role,Permissions management,role*,,
PutUserPermissionsBoundary,Grants permission to set a managed policy as a permissions boundary for an IAM user,Permissions management,user*,,
PutUserPermissionsBoundary,Grants permission to set a managed policy as a permissions boundary for an IAM user,Permissions management,,iam:PermissionsBoundary,
PutUserPolicy,Grants permission to create or update an inline policy document that is embedded in the specified IAM user,Permissions management,user*,,
PutUserPolicy,Grants permission to create or update an inline policy document that is embedded in the specified IAM user,Permissions management,,iam:PermissionsBoundary,
RemoveClientIDFromOpenIDConnectProvider,Grants permission to remove the client ID (audience) from the list of client IDs in the specified IAM OpenID Connect (OIDC) provider resource,Write,oidc-provider*,,
RemoveRoleFromInstanceProfile,Grants permission to remove an IAM role from the specified EC2 instance profile,Write,instance-profile*,,
RemoveUserFromGroup,Grants permission to remove an IAM user from the specified group,Write,group*,,
ResetServiceSpecificCredential,Grants permission to reset the password for an existing service-specific credential for an IAM user,Write,user*,,
ResyncMFADevice,Grants permission to synchronize the specified MFA device with its IAM entity (user or role),Write,user*,,
SetDefaultPolicyVersion,Grants permission to set the version of the specified policy as the policy's default version,Permissions management,policy*,,
SetSecurityTokenServicePreferences,Grants permission to set the STS global endpoint token version,Write,,,
SimulateCustomPolicy,Grants permission to simulate whether an identity-based policy or resource-based policy provides permissions for specific API operations and resources,Read,,,
SimulatePrincipalPolicy,Grants permission to simulate whether an identity-based policy that is attached to a specified IAM entity (user or role) provides permissions for specific API operations and resources,Read,user,,
SimulatePrincipalPolicy,Grants permission to simulate whether an identity-based policy that is attached to a specified IAM entity (user or role) provides permissions for specific API operations and resources,Read,group,,
SimulatePrincipalPolicy,Grants permission to simulate whether an identity-based policy that is attached to a specified IAM entity (user or role) provides permissions for specific API operations and resources,Read,role,,
TagInstanceProfile,Grants permission to add tags to an instance profile,Tagging,instance-profile*,,
TagInstanceProfile,Grants permission to add tags to an instance profile,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
TagMFADevice,Grants permission to add tags to a virtual mfa device,Tagging,mfa*,,
TagMFADevice,Grants permission to add tags to a virtual mfa device,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
TagOpenIDConnectProvider,Grants permission to add tags to an OpenID Connect provider,Tagging,oidc-provider*,,
TagOpenIDConnectProvider,Grants permission to add tags to an OpenID Connect provider,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
TagPolicy,Grants permission to add tags to a managed policy,Tagging,policy*,,
TagPolicy,Grants permission to add tags to a managed policy,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
TagRole,Grants permission to add tags to an IAM role,Tagging,role*,,
TagRole,Grants permission to add tags to an IAM role,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
TagSAMLProvider,Grants permission to add tags to a SAML Provider,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
TagSAMLProvider,Grants permission to add tags to a SAML Provider,Tagging,saml-provider*,,
TagServerCertificate,Grants permission to add tags to a server certificate,Tagging,server-certificate*,,
TagServerCertificate,Grants permission to add tags to a server certificate,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
TagUser,Grants permission to add tags to an IAM user,Tagging,user*,,
TagUser,Grants permission to add tags to an IAM user,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
UntagInstanceProfile,Grants permission to remove the specified tags from the instance profile,Tagging,instance-profile*,,
UntagInstanceProfile,Grants permission to remove the specified tags from the instance profile,Tagging,,aws:TagKeys,
UntagMFADevice,Grants permission to remove the specified tags from the virtual mfa device,Tagging,mfa*,,
UntagMFADevice,Grants permission to remove the specified tags from the virtual mfa device,Tagging,,aws:TagKeys,
UntagOpenIDConnectProvider,Grants permission to remove the specified tags from the OpenID Connect provider,Tagging,oidc-provider*,,
UntagOpenIDConnectProvider,Grants permission to remove the specified tags from the OpenID Connect provider,Tagging,,aws:TagKeys,
UntagPolicy,Grants permission to remove the specified tags from the managed policy,Tagging,,aws:TagKeys,
UntagPolicy,Grants permission to remove the specified tags from the managed policy,Tagging,policy*,,
UntagRole,Grants permission to remove the specified tags from the role,Tagging,,aws:TagKeys,
UntagRole,Grants permission to remove the specified tags from the role,Tagging,role*,,
UntagSAMLProvider,Grants permission to remove the specified tags from the SAML Provider,Tagging,saml-provider*,,
UntagSAMLProvider,Grants permission to remove the specified tags from the SAML Provider,Tagging,,aws:TagKeys,
UntagServerCertificate,Grants permission to remove the specified tags from the server certificate,Tagging,server-certificate*,,
UntagServerCertificate,Grants permission to remove the specified tags from the server certificate,Tagging,,aws:TagKeys,
UntagUser,Grants permission to remove the specified tags from the user,Tagging,user*,,
UntagUser,Grants permission to remove the specified tags from the user,Tagging,,aws:TagKeys,
UpdateAccessKey,Grants permission to update the status of the specified access key as Active or Inactive,Write,user*,,
UpdateAccountPasswordPolicy,Grants permission to update the password policy settings for the AWS account,Write,,,
UpdateAssumeRolePolicy,Grants permission to update the policy that grants an IAM entity permission to assume a role,Permissions management,role*,,
UpdateGroup,Grants permission to update the name or path of the specified IAM group,Write,group*,,
UpdateLoginProfile,Grants permission to change the password for the specified IAM user,Write,user*,,
UpdateOpenIDConnectProviderThumbprint,Grants permission to update the entire list of server certificate thumbprints that are associated with an OpenID Connect (OIDC) provider resource,Write,oidc-provider*,,
UpdateRole,Grants permission to update the description or maximum session duration setting of a role,Write,role*,,
UpdateRoleDescription,Grants permission to update only the description of a role,Write,role*,,
UpdateSAMLProvider,Grants permission to update the metadata document for an existing SAML provider resource,Write,saml-provider*,,
UpdateSSHPublicKey,Grants permission to update the status of an IAM user's SSH public key to active or inactive,Write,user*,,
UpdateServerCertificate,Grants permission to update the name or the path of the specified server certificate stored in IAM,Write,server-certificate*,,
UpdateServiceSpecificCredential,Grants permission to update the status of a service-specific credential to active or inactive for an IAM user,Write,user*,,
UpdateSigningCertificate,Grants permission to update the status of the specified user signing certificate to active or disabled,Write,user*,,
UpdateUser,Grants permission to update the name or the path of the specified IAM user,Write,user*,,
UploadSSHPublicKey,Grants permission to upload an SSH public key and associate it with the specified IAM user,Write,user*,,
UploadServerCertificate,Grants permission to upload a server certificate entity for the AWS account,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
UploadServerCertificate,Grants permission to upload a server certificate entity for the AWS account,Write,server-certificate*,,
UploadSigningCertificate,Grants permission to upload an X.509 signing certificate and associate it with the specified IAM user,Write,user*,,
